iter	Passed	Remaining
0	4	2007
1	7	1805
2	9	1610
3	12	1610
4	16	1616
5	19	1644
6	23	1645
7	26	1643
8	30	1643
9	32	1613
10	35	1595
11	39	1599
12	42	1589
13	46	1604
14	49	1602
15	52	1592
16	55	1587
17	59	1580
18	62	1576
19	64	1549
20	68	1552
21	72	1581
22	76	1587
23	80	1593
24	83	1583
25	85	1551
26	88	1549
27	91	1549
28	94	1535
29	96	1507
30	99	1502
31	103	1507
32	106	1504
33	108	1484
34	111	1485
35	115	1488
36	118	1479
37	121	1482
38	125	1482
39	129	1484
40	132	1487
41	135	1482
42	138	1468
43	139	1448
44	141	1434
45	143	1418
46	145	1402
47	148	1401
48	152	1405
49	156	1405
50	159	1405
51	162	1398
52	166	1401
53	169	1403
54	172	1397
55	176	1397
56	179	1395
57	182	1392
58	185	1390
59	189	1392
60	194	1401
61	198	1403
62	201	1395
63	204	1393
64	206	1380
65	209	1380
66	213	1379
67	215	1369
68	218	1365
69	222	1364
70	224	1355
71	227	1353
72	232	1358
73	235	1353
74	237	1343
75	240	1343
76	244	1341
77	247	1339
78	252	1343
79	259	1362
80	265	1371
81	268	1368
82	275	1386
83	285	1413
84	289	1413
85	294	1417
86	301	1429
87	304	1427
88	308	1424
89	313	1426
90	318	1432
91	325	1442
92	328	1438
93	332	1437
94	336	1434
95	339	1430
96	345	1435
97	349	1433
98	352	1429
99	356	1425
100	360	1424
101	364	1422
102	367	1418
103	372	1418
104	376	1415
105	379	1410
106	382	1405
107	386	1403
108	391	1402
109	394	1397
110	397	1392
111	401	1389
112	404	1384
113	410	1391
114	419	1404
115	432	1430
116	447	1463
117	466	1510
118	476	1527
119	484	1533
120	488	1529
121	494	1531
122	499	1530
123	503	1527
124	507	1523
125	511	1518
126	517	1519
127	522	1518
128	525	1512
129	531	1513
130	535	1509
131	540	1506
132	544	1501
133	551	1505
134	555	1502
135	559	1498
136	564	1496
137	570	1497
138	574	1491
139	580	1491
140	584	1489
141	588	1484
142	591	1477
143	597	1476
144	601	1472
145	605	1468
146	610	1465
147	614	1461
148	619	1459
149	624	1456
150	629	1454
151	634	1451
152	639	1449
153	643	1444
154	647	1440
155	650	1435
156	654	1429
157	657	1423
158	660	1417
159	664	1411
160	667	1404
161	670	1399
162	674	1394
163	677	1388
164	681	1384
165	685	1378
166	690	1376
167	693	1371
168	696	1364
169	699	1358
170	703	1353
171	706	1347
172	710	1342
173	714	1337
174	717	1333
175	720	1327
176	725	1323
177	729	1318
178	732	1314
179	737	1310
180	740	1305
181	744	1300
182	748	1295
183	751	1290
184	756	1287
185	759	1282
186	762	1277
187	766	1272
188	770	1267
189	773	1261
190	777	1257
191	780	1252
192	784	1247
193	788	1243
194	791	1238
195	795	1233
196	799	1229
197	803	1225
198	806	1220
199	809	1214
200	813	1210
201	816	1204
202	820	1200
203	823	1194
204	826	1189
205	830	1185
206	834	1181
207	838	1176
208	841	1171
209	845	1167
210	849	1162
211	852	1157
212	856	1153
213	861	1151
214	864	1145
215	869	1143
216	874	1139
217	880	1138
218	883	1134
219	887	1128
220	891	1125
221	894	1120
222	897	1115
223	903	1112
224	906	1108
225	910	1103
226	914	1099
227	917	1094
228	921	1090
229	924	1085
230	928	1081
231	932	1076
232	936	1072
233	940	1068
234	943	1064
235	947	1060
236	951	1055
237	955	1051
238	959	1047
239	963	1043
240	967	1039
241	970	1035
242	975	1031
243	979	1027
244	984	1024
245	987	1019
246	991	1015
247	994	1010
248	998	1006
249	1004	1004
250	1009	1001
251	1023	1007
252	1028	1003
253	1035	1002
254	1041	1000
255	1048	999
256	1066	1008
257	1074	1007
258	1085	1010
259	1091	1007
260	1096	1004
261	1100	1000
262	1106	997
263	1112	994
264	1118	991
265	1121	986
266	1125	982
267	1129	977
268	1133	973
269	1136	968
270	1140	963
271	1144	959
272	1149	955
273	1154	952
274	1158	947
275	1165	945
276	1168	940
277	1174	938
278	1179	934
279	1186	932
280	1192	929
281	1196	925
282	1200	920
283	1204	916
284	1209	912
285	1215	909
286	1219	905
287	1225	902
288	1231	899
289	1235	894
290	1239	890
291	1244	886
292	1249	882
293	1254	878
294	1257	874
295	1262	869
296	1267	866
297	1272	862
298	1275	857
299	1280	853
300	1285	849
301	1290	846
302	1294	841
303	1298	837
304	1302	832
305	1306	827
306	1310	823
307	1313	819
308	1317	814
309	1321	809
310	1324	804
311	1327	800
312	1332	796
313	1336	791
314	1340	787
315	1344	782
316	1347	778
317	1351	773
318	1354	768
319	1358	764
320	1362	759
321	1366	755
322	1369	750
323	1373	746
324	1377	741
325	1381	737
326	1386	733
327	1390	728
328	1393	724
329	1399	720
330	1405	717
331	1409	713
332	1413	709
333	1418	704
334	1422	700
335	1427	696
336	1432	692
337	1436	688
338	1439	683
339	1443	679
340	1446	674
341	1450	670
342	1453	665
343	1458	661
344	1462	656
345	1465	652
346	1469	648
347	1474	643
348	1477	639
349	1481	635
350	1486	630
351	1490	626
352	1493	622
353	1498	617
354	1502	613
355	1506	609
356	1510	604
357	1513	600
358	1517	596
359	1521	591
360	1524	587
361	1529	583
362	1532	578
363	1536	574
364	1540	569
365	1543	565
366	1547	560
367	1550	556
368	1554	551
369	1557	547
370	1561	542
